Topic,Count,Name,Representation,Representative_Docs
257,14,257_merchants_fairs_traded_27,"['merchants', 'fairs', 'traded', '27', 'merchant', 'arabia', 'occupied', 'thy', 'wares', 'market']","['27:16 Syria was thy merchant by reason of the multitude of the wares of thy making: they occupied in thy fairs with emeralds, purple, and broidered work, and fine linen, and coral, and agate.', '27:22 The merchants of Sheba and Raamah, they were thy merchants: they occupied in thy fairs with chief of all spices, and with all precious stones, and gold.', '27:12 Tarshish was thy merchant by reason of the multitude of all kind of riches; with silver, iron, tin, and lead, they traded in thy fairs.']"
258,14,258_elias_listed_appeared_scribes,"['elias', 'listed', 'appeared', 'scribes', 'answered', 'moses', '17', 'restoreth', 'foreknew', 'asked']","['17:3 And, behold, there appeared unto them Moses and Elias talking with him.', '11:14 And if ye will receive it, this is Elias, which was for to come.', '17:10 And his disciples asked him, saying, Why then say the scribes that Elias must first come?  17:11 And Jesus answered and said unto them, Elias truly shall first come, and restore all things.']"
259,14,259_unleavened_bread_abib_feast,"['unleavened', 'bread', 'abib', 'feast', 'leaven', 'month', 'camest', 'seven', 'eat', 'leavened']","['13:6 Seven days thou shalt eat unleavened bread, and in the seventh day shall be a feast to the LORD.', '23:6 And on the fifteenth day of the same month is the feast of unleavened bread unto the LORD: seven days ye must eat unleavened bread.', '34:18 The feast of unleavened bread shalt thou keep. Seven days thou shalt eat unleavened bread, as I commanded thee, in the time of the month Abib: for in the month Abib thou camest out from Egypt.']"
260,14,260_waters_78_rock_gushed,"['waters', '78', 'rock', 'gushed', 'watersprings', 'dry', 'clave', 'wilderness', 'caused', 'depths']","['78:16 He brought streams also out of the rock, and caused waters to run down like rivers.', '78:20 Behold, he smote the rock, that the waters gushed out, and the streams overflowed; can he give bread also? can he provide flesh for his people?', '48:21 And they thirsted not when he led them through the deserts: he caused the waters to flow out of the rock for them: he clave the rock also, and the waters gushed out.']"
261,14,261_fowl_earth_fowls_kind,"['fowl', 'earth', 'fowls', 'kind', 'creeping', 'cattle', 'multiply', 'creepeth', 'abundantly', 'fruitful']","['1:24 And God said, Let the earth bring forth the living creature after his kind, cattle, and creeping thing, and beast of the earth after his kind: and it was so.', '6:20 Of fowls after their kind, and of cattle after their kind, of every creeping thing of the earth after his kind, two of every sort shall come unto thee, to keep them alive.', '8:17 Bring forth with thee every living thing that is with thee, of all flesh, both of fowl, and of cattle, and of every creeping thing that creepeth upon the earth; that they may breed abundantly in the earth, and be fruitful, and multiply upon the earth.']"
262,14,262_lamps_candlestick_light_bushel,"['lamps', 'candlestick', 'light', 'bushel', 'candle', 'lighted', 'burn', 'pure', 'putteth', 'order']","['24:4 He shall order the lamps upon the pure candlestick before the LORD continually.', '8:1 And the LORD spake unto Moses, saying, 8:2 Speak unto Aaron and say unto him, When thou lightest the lamps, the seven lamps shall give light over against the candlestick.', '8:3 And Aaron did so; he lighted the lamps thereof over against the candlestick, as the LORD commanded Moses.']"
263,14,263_bates_miss_fetch_amusing,"['bates', 'miss', 'fetch', 'amusing', 'invite', 'do', 'obliged', 'call', 'know', 'dull']","['""But Miss Bates and Miss Fairfax!"" said Mr. Weston, looking about. ""We thought you were to bring them.""', '""But then, to be an old maid at last, like Miss Bates!""', '""Yes, very true,"" cried Frank, ""very true.  You want your neighbours\' opinions.  I do not wonder at you.  If one could ascertain what the chief of them--the Coles, for instance.  They are not far off. Shall I call upon them?  Or Miss Bates?  She is still nearer.-- And I do not know whether Miss Bates is not as likely to understand the inclinations of the rest of the people as any body.  I think we do want a larger council.  Suppose I go and invite Miss Bates to join us?""']"
264,14,264_amen_cursed_27_lieth,"['amen', 'cursed', '27', 'lieth', 'say', 'people', 'causeless', 'uncovereth', 'confirmeth', 'curse']","['27:22 Cursed be he that lieth with his sister, the daughter of his father, or the daughter of his mother. And all the people shall say, Amen.', '27:23 Cursed be he that lieth with his mother in law. And all the people shall say, Amen.', '27:21 Cursed be he that lieth with any manner of beast. And all the people shall say, Amen.']"
265,13,265_book_kings_testament_bible,"['book', 'kings', 'testament', 'bible', 'chronicles', 'cackled', 'james', 'rule', 'oldest', 'busily']","['The First Book of the Kings', 'The First Book of the Kings', 'The First Book of the Kings']"
266,13,266_sword_furbished_sharpened_sheath,"['sword', 'furbished', 'sharpened', 'sheath', '21', 'sharpeneth', 'rod', 'iron', 'contemneth', 'prophesy']","['26:52 Then said Jesus unto him, Put up again thy sword into his place: for all they that take the sword shall perish with the sword.', '21:11 And he hath given it to be furbished, that it may be handled: this sword is sharpened, and it is furbished, to give it into the hand of the slayer.', '21:8 Again the word of the LORD came unto me, saying, 21:9 Son of man, prophesy, and say, Thus saith the LORD; Say, A sword, a sword is sharpened, and also furbished: 21:10 It is sharpened to make a sore slaughter; it is furbished that it may glitter: should we then make mirth? it contemneth the rod of my son, as every tree.']"
267,13,267_noah_ark_wives_creepeth,"['noah', 'ark', 'wives', 'creepeth', 'flood', 'creeping', 'sons', 'noe', 'fowl', 'every']","[""8:18 And Noah went forth, and his sons, and his wife, and his sons' wives with him: 8:19 Every beast, every creeping thing, and every fowl, and whatsoever creepeth upon the earth, after their kinds, went forth out of the ark."", ""7:7 And Noah went in, and his sons, and his wife, and his sons' wives with him, into the ark, because of the waters of the flood."", ""7:13 In the selfsame day entered Noah, and Shem, and Ham, and Japheth, the sons of Noah, and Noah's wife, and the three wives of his sons with them, into the ark; 7:14 They, and every beast after his kind, and all the cattle after their kind, and every creeping thing that creepeth upon the earth after his kind, and every fowl after his kind, every bird of every sort.""]"
268,13,268_tables_mount_forty_ark,"['tables', 'mount', 'forty', 'ark', 'covenant', 'stone', 'nights', 'two', '10', 'bands']","['10:3 And I made an ark of shittim wood, and hewed two tables of stone like unto the first, and went up into the mount, having the two tables in mine hand.', '9:9 When I was gone up into the mount to receive the tables of stone, even the tables of the covenant which the LORD made with you, then I abode in the mount forty days and forty nights, I neither did eat bread nor drink water: 9:10 And the LORD delivered unto me two tables of stone written with the finger of God; and on them was written according to all the words, which the LORD spake with you in the mount out of the midst of the fire in the day of the assembly.', '9:11 And it came to pass at the end of forty days and forty nights, that the LORD gave me the two tables of stone, even the tables of the covenant.']"
269,13,269_pounds_thousand_income_fortune,"['pounds', 'thousand', 'income', 'fortune', 'yearly', 'hundred', 'sum', 'cannot', 'livings', 'something']","['""Undoubtedly; and after all you have no thanks for it. They think themselves secure, you do no more than what is expected, and it raises no gratitude at all.  If I were you, whatever I did should be done at my own discretion entirely. I would not bind myself to allow them any thing yearly. It may be very inconvenient some years to spare a hundred, or even fifty pounds from our own expenses.""', '""Certainly--and I think I may afford to give them five hundred pounds a-piece.  As it is, without any addition of mine, they will each have about three thousand pounds on their mother\'s death--a very comfortable fortune for any young woman.""', '""What, indeed, ma\'am!  It is a melancholy consideration. Born to the prospect of such affluence!  I cannot conceive a situation more deplorable.  The interest of two thousand pounds--how can a man live on it?--and when to that is added the recollection, that he might, but for his own folly, within three months have been in the receipt of two thousand, five hundred a-year (for Miss Morton has thirty thousand pounds,) I cannot picture to myself a more wretched condition.  We must all feel for him; and the more so, because it is totally out of our power to assist him.""']"
